CID100000085;carnitina
CID100004915;procarbazina
CID100004917;proclorperazina
CID100004920;progesterona
CID100004923;proguanil
CID100004927;prometazina
CID100004932;propafenona
CID100004934;propantelina
CID100004935;proparacaína
CID100004943;propofol
CID100004946;propranolol
CID100004976;protriptilina
CID100004989;pirantel
CID100004991;piridostigmina
CID100004992;mepiramina
CID100004993;pirimetamina
CID100004999;quazepam
CID100005002;quetiapina
CID100005005;quinapril
CID100005029;rabeprazol
CID100005032;efedrina
CID100005035;raloxifeno
CID100005038;ramipril
CID100005039;ranitidina
CID100005040;rapamicina
CID100005051;rescinamina
CID100005052;reserpina
CID100005064;ribavirina
CID100005070;riluzol
CID100005071;rimantadina
CID100005073;risperidona
CID100005076;ritonavir
CID100005077;rivastigmina
CID100005078;rizatriptano
CID100005090;rofecoxibe
CID100005095;ropinirol
CID100005106;roxitromicina
CID100005152;salmeterol
CID100005155;estavudina
CID100005161;salsalato
CID100005184;escopolamina
CID100005193;secobarbital
CID100005195;deprenila
CID100005203;sertralina
CID100005206;sevoflurano
CID100005210;sibutramina
CID100005212;sildenafila
CID100005214;prata
CID100005215;sulfadiazina
CID100005238;sódio
CID100005245;risedronato
CID100005248;sódio
CID100005253;sotalol
CID100005257;esparfloxacino
CID100005267;espironolactona
CID100005291;imatinibe
CID100005297;estreptomicina
CID100005300;estreptozotocina
CID100005311;vorinostate
CID100005314;succinilcolina
CID100005318;sulconazol
CID100005320;sulfacetamida
CID100005329;sulfametoxazol
CID100005333;sulfonamida
CID100005352;sulindaco
CID100005358;sumatriptano
CID100005359;suprofeno
CID100005372;tacrolimo
CID100005376;tamoxifeno
CID100005379;gatifloxacino
CID100005381;tazaroteno
CID100005391;temazepam
CID100005394;temozolomida
CID100005396;teniposídeo
CID100005401;terazosina
CID100005402;terbinafina
CID100005403;terbutalina
CID100005404;terconazol
CID100005407;testolactona
CID100005408;testosterona
CID100005409;testosterona
CID100005410;testosterona
CID100005411;tetracaína
CID100005419;tetrahidrozolina
CID100005426;talidomida
CID100005430;tiabendazol
CID100005452;tioridazina
CID100005453;tiotepa
CID100005454;tiotixeno
CID100005466;tiagabina
CID100005468;ácido tiaprof ênico
CID100005470;tibolona
CID100005472;ticlopidina
CID100005478;timolol
CID100005479;tinidazol
CID100005483;tiopronina
CID100005486;tirofibana
CID100005487;tizanidina
CID100005496;tobramicina
CID100005503;tolazamida
CID100005505;tolbutamida
CID100005508;tolmetina
CID100005512;tolterodina
CID100005514;topiramato
CID100005515;topotecano
CID100005516;toremifeno
CID100005523;tramadol
CID100005524;tramazolina
CID100005525;trandolapril
CID100005526;ácido tranexâmico
CID100005530;tranilcipromina
CID100005533;trazodona
CID100005538;ácido retinoico
CID100005544;triancinolona
CID100005546;triantereno
CID100005556;triazolam
CID100005564;triclosan
CID100005565;trien
CID100005566;trifluoperazina
CID100005572;tri-hexifenidil
CID100005576;trimetadiona
CID100005577;trimetobenzamida
CID100005578;trimetoprima
CID100005582;trimetrexato
CID100005584;trimipramina
CID100005591;troglitazona
CID100005593;tropicamida
CID100005595;tropissetrona
CID100005596;tróspio
CID100005625;delavirdina
CID100005636;unoprostone
CID100005645;UDCA
CID100005647;VACV
CID100005650;valsartana
CID100005651;Vancocine
CID100005656;venlafaxina
CID100005665;vigabatrina
CID100005672;vinorelbina
CID100005717;zafirlucaste
CID100005718;zalcitabina
CID100005719;zaleplona
CID100005721;zanamivir
CID100005726;zidovudina
CID100005727;ZnCl2
CID100005731;zolmitriptano
CID100005732;zolpidem
CID100005734;zonisamida
CID100005735;zopiclona
CID100005746;mitomicina
CID100005771;ocitocina
CID100005775;fentolamina
CID100005877;demetil
CID100005878;oxandrolona
CID100005939;biguanida
CID100005978;vincristina
CID100006018;tetrabenazina
CID100006049;EDTA
CID100006058;cisteamina
CID100006116;cálcio
CID100006238;17-hidroxiprogesterona
CID100006256;trifluorotimidina
CID100006432;Optison
CID100006436;triancinolona
CID100006451;bromocresol
CID100006468;fenciclidina
CID100006476;metsuximida
CID100006503;tris
CID100006726;ciclizina
CID100007012;fenilbutírico
CID100007029;dietilpropiona
CID100007187;benzoíla
CID100007638;monobenzona
CID100007699;benzonatato
CID100008197;tetraeno
CID100008230;argenina
CID100008612;cloroprocaína
CID100008982;nafcilina
CID100009034;metoexital
CID100009354;ácido dimercaptossuccínico
CID100009433;aminofilina
CID100009904;nandrolona
CID100010100;propoxifeno
CID100010340;sódio
CID100010413;hidroxibutirato
CID100010547;ecotiofato
CID100010631;medroxiprogesterona
CID100010660;dimenidrinato
CID100011125;lítio
CID100011973;Brolene
CID100012453;zuclopentixol
CID100012460;fendimetrazina
CID100012536;desonida
CID100012555;benzidamina
CID100012559;eritromicina
CID100012597;isomannida
CID100012620;Tadenan
CID100013314;lormetazepam
CID100013342;vimblastina
CID100014789;ferumoxitol
CID100014888;arsênico
CID100014917;fluoreto
CID100015232;benzatina
CID100015459;metaxalona
CID100016124;azul de metileno
CID100016230;amilorida
CID100016362;pimozida
CID100016533;betametasona
CID100016850;fluoresceína
CID100016886;5-aza-2'-desoxicitidina
CID100017358;SonoVue
CID100018140;estramustina
CID100019090;megestrol
CID100020585;colina
CID100020969;clocortolona
CID100021800;betametasona
CID100021945;metenamina
CID100022258;hidrocodona
CID100022318;ouro
CID100022502;procaína
CID100023703;ogen
CID100023897;molindona
CID100023925;Fe(III
CID100023926;lantânio
CID100023951;samário
CID100023954;prata
CID100023957;tecnécio-99m
CID100023976;cromo
CID100023978;cobre
CID100023982;gadolínio
CID100023993;ítrio
CID100023994;zinco
CID100024087;selênio
CID100024414;bário
CID100024424;zinco
CID100024450;potássio
CID100024642;TlCl
CID100024706;Triphasil
CID100024748;glicose
CID100024841;iodeto
CID100025419;clodronato
CID100025959;Azul da Prússia
CID100027304;HMDP
CID100027400;pizotifeno
CID100027661;mononitrato de isossorbida-5
CID100027991;desmopressina
CID100027993;estrógenos conjugados
CID100028332;propoxifeno
CID100028486;lítio
CID100029089;clorexidina
CID100030623;dexrazoxano
CID100031072;carbimazol
CID100031264;paraldeído
CID100031378;fludrocortisona
CID100031477;metipranolol
CID100032169;articaína
CID100032281;Protirelina
CID100032603;clindamicina
CID100032797;clobetasol
CID100032800;Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2
CID100034312;oxcarbazepina
CID100036339;etomidato
CID100036523;gonadorelina
CID100036811;dobutamina
CID100037392;halofantrina
CID100037720;pentosano
CID100038904;carboplatina
CID100039042;bezafibrato
CID100039507;rimexolona
CID100039524;estiripentol
CID100039764;vecurônio
CID100039860;nabilona
CID100040159;permetrina
CID100040632;pirfenidona
CID100040703;pinavério
CID100040973;desogestrel
CID100040976;Implanon
CID100041317;acitretina
CID100041684;nitazoxanida
CID100041693;sufentanila
CID100041744;valrrubicina
CID100041774;acarbose
CID100041781;torasemida
CID100042113;desflurano
CID100042395;Westcort
CID100042615;Supremon
CID100042955;misoprostol
CID100044563;lodoxamida
CID100044564;lodoxamida
CID100045469;sódio
CID100047319;atracúrio
CID100047320;cisatracúrio
CID100047419;cefuroxima
CID100047471;butoconazol
CID100047528;nicorandil
CID100047640;naftifina
CID100047725;Gosserrelina
CID100050294;nedocromil
CID100050614;cefotetan
CID100051263;alfentanila
CID100051577;miglitol
CID100051634;miglustate
CID100052421;prednicarbato
CID100054158;mebrofenina
CID100054313;iloprost
CID100054331;fosfomicina
CID100054373;Octreotida
CID100054454;sinvastatina
CID100054547;cefpodoxima
CID100054688;claritromicina
CID100054786;treprostinila
CID100054808;loteprednol
CID100054840;atomoxetina
CID100054949;NSC
CID100055331;moexiprilato
CID100055466;Gd-DTPA
CID100055480;milnaciprano
CID100056338;fosfenitoína
CID100056959;ranolazina
CID100057166;Photofrin
CID100057469;imiquimode
CID100057537;rotigotina
CID100057697;pemirolaste
CID100059708;levetiracetam
CID100059768;esmolol
CID100060146;tansulosina
CID100060164;adapaleno
CID100060172;adefovir
CID100060183;perindopril
CID100060184;perindopril
CID100060198;exemestano
CID100060490;zileutona
CID100060496;anlodipino
CID100060612;dexmedetomidina
CID100060613;cidofovir
CID100060668;etoposídeo
CID100060695;rocurônio
CID100060706;meropeném
CID100060714;gadoteridol
CID100060726;bromfenaco
CID100060751;mTHPC
CID100060752;ibutilida
CID100060754;gadodiamida
CID100060787;saquinavir
CID100060795;aripiprazol
CID100060814;remifentanila
CID100060830;tiotrópio
CID100060834;duloxetina
CID100060843;pemetrexede
CID100060852;ibandronato
CID100060853;ziprasidona
CID100060860;metaiodobenzilguanidina
CID100060864;olopatadina
CID100060867;levosimendana
CID100060871;adefovir
CID100060877;entricitabina
CID100060878;eprosartana
CID100060936;tiludronato
CID100060953;capecitabina
CID100061475;sódio
CID100061799;monometilfumarato
CID100062305;doxiciclina
CID100062358;amônio
CID100062816;colestipol
CID100062819;Metrodin
CID100062924;fluticasona
CID100062956;fosinoprilato
CID100062959;trovafloxacino
CID100062965;beclometasona
CID100063001;benazeprilato
CID100064147;valganciclovir
CID100064778;Meropeném
CID100064929;ácido fenofíbrico
CID100064987;tenofovir
CID100065014;AMD3100
CID100065157;testosterona
CID100065281;CAS
CID100065370;Glat
CID100065628;bendamustina
CID100065840;colestimida
CID100065856;reboxetina
CID100065863;sertaconazol
CID100065866;lercanidipino
CID100065999;telmisartana
CID100068613;atosibana
CID100068740;ácido zoledrônico
CID100068844;brinzolamida
CID100069512;malvidina
CID100071158;acamprosato
CID100071273;ropivacaína
CID100071301;nebivolol
CID100071316;mivacúrio
CID100071329;dofetilida
CID100071348;lanreotida
CID100071360;iloperidona
CID100071362;Hoe
CID100071406;TPGS
CID100071436;Lutalyse
CID100071469;eritromicina
CID100071616;voriconazol
CID100072022;perindoprilato
CID100072054;darifenacina
CID100072081;Terlipressina
CID100072111;rifaximina
CID100072466;bleomicina
CID100072938;gemifloxacino
CID100073303;doripeném
CID100073658;telitromicina
CID100074989;atovaquona
CID100077992;frovatriptano
CID100077993;eletriptano
CID100077996;paricalcitol
CID100077997;MK-462
CID100077998;rosiglitazona
CID100078032;Vallergan
CID100082146;bexaroteno
CID100082148;agomelatina
CID100083030;Ge-132
CID100083513;bário
CID100083606;estrôncio
CID100084003;cetorolaco
CID100091488;fluocinolona
CID100093860;bortezomibe
CID100096312;nelarabina
CID100102258;rasburicase
CID100102399;dextrano
CID100104741;ICI
CID100104758;raltitrexede
CID100104778;levodopa/carbidopa
CID100104799;fotemustina
CID100104849;rimonabanto
CID100104865;bosentana
CID100105145;68Ga
CID100107694;Diane-35
CID100107969;FTY720
CID100107994;quinaprilato
CID100110634;vardenafila
CID100110635;tadalafila
CID100114709;eslicarbazepina
CID100115237;paliperidona
CID100115355;NTBC
CID100119182;clofarabina
CID100119212;benzilpenicilil
CID100119607;valdecoxibe
CID100119828;parecoxibe
CID100119830;tenofovir
CID100121396;N-carbamilglutamato
CID100121749;ustequinumabe
CID100121892;retigabina
CID100122197;FP-CIT
CID100122316;rasagilina
CID100123015;SU5416
CID100123597;travoprosta
CID100123606;almotriptano
CID100123610;Eptifibatida
CID100123611;fondaparinux
CID100123619;etoricoxibe
CID100123620;mometasona
CID100123623;Cancidas
CID100123631;gefitinibe
CID100123634;Trisequens
CID100123809;Madopar
CID100124087;desloratadina
CID100125017;desvenlafaxina
CID100125889;pregabalina
CID100127909;bimatoprosta
CID100128549;trandolaprilato
CID100129228;rufinamida
CID100129806;rosuvastatina
CID100130564;esomeprazol
CID100130881;olmesartana
CID100131535;fosamprenavir
CID100132804;pitavastatina
CID100132971;abiraterona
CID100132999;ivabradina
CID100134018;febuxostate
CID100134019;pixantrona
CID100134780;pomalidomida
CID100135113;sacrosidase
CID100145068;óxido nítrico
CID100147740;drospirenona
CID100147912;posaconazol
CID100148121;pralatrexato
CID100148127;ospemifeno
CID100148191;temsirolimo
CID100148192;atazanavir
CID100148211;palonossetrona
CID100150310;eplerenona
CID100150311;ezetimiba
CID100150610;ertapeném
CID100151075;nepafenaco
CID100151165;aprepitanto
CID100151171;conivaptana
CID100152945;dutasterida
CID100153941;entecavir
CID100153994;clevidipino
CID100154058;solifenacina
CID100154256;bazedoxifeno
CID100156326;asenapina
CID100156418;cinacalcete
CID100157429;gadopentetato
CID100157688;vinflunina
CID100157920;lubiprostona
CID100157921;metil
CID100158781;olmesartana
CID100158786;pegaptanibe
CID100159247;sevelâmero
CID100160036;MnDPDP
CID100160051;colesevelam
CID100160352;zidovudina/lamivudina
CID100163296;tipranavir
