Original,Traduzido
Abortion infected,Aborto infectado
Abortion missed,Aborto perdido
Abortion spontaneous,Aborto espontâneo
Abrasion NOS,Abrasão nos
Abscess,Abscesso
Abscess limb,Membro do abscesso
Abscess periodontal,Abscesso Periodontal
Abscess sterile,Abscesso estéril
Abscesses of skin,Abscessos da pele
Absolute neutrophil count decreased,A contagem absoluta de neutrófilos diminuiu
Acalculous cholecystitis,Colecistite acalculosa
Acanthosis nigricans,Acanthose Nigricans
Acarodermatitis,Acarodermatite
Accelerated hair loss,Perda de cabelo acelerada
Accident,Acidente
Accident at home,Acidente em casa
Accidental exposure to product,Exposição acidental ao produto
Accidental ingestion,Ingestão acidental
Accidental injury,Lesão acidental
Accidental overdose,Overdose acidental
Accommodation disorder,Transtorno da acomodação
Acetonaemia,Acetoneemia
Ache,Dor
Ache wrists,Pulsos de dor
Acholia,Acholia
Acid indigestion,Indigestão ácida
Acid phosphatase high,Fosfatase ácida alta
Acidemia,Acidemia
Acidosis,Acidose
Acidosis hyperchloraemic,Acidose Hiperclorêmica
Acne,Acne
Acne cystic,Acne cística
Acne fulminans,Acne fulminans
Acne infantile,Infantil da acne
Acne pustular,Acne pustular
Acne vulgaris,Acne vulgaris
Acneiform eruption,Erupção acneiforme
Acquired haemophilia,Hemofilia adquirida
Acquired immunodeficiency syndrome,Síndrome da imunodeficiência adquirida
Acquired keratoderma,Adquiriu Keratoderma
Acquired lipoatrophic diabetes,Diabetes lipoatrófico adquirido
Acquired megacolon,Megacolon adquiriu
Acquired night blindness,Cegueira noturna adquirida
Acral erythema,Eritema acral
Acrochordon,Acrochordon
Acrodynia,Acrodynia
Acromegaly,Acromegalia
Actinic keratosis,Queratose actínica
Action tremor,Tremor de ação
Activated partial thromboplastin time prolonged,O tempo de tromboplastina parcial ativado prolongou
Activated partial thromboplastin time shortened,O tempo de tromboplastina parcial ativado diminuiu
Activation syndrome,Síndrome da ativação
Acute abdomen,Abdômen agudo
Acute allergic reaction,Reação alérgica aguda
Acute allograft rejection,Rejeição de aloenxerto agudo
Acute anaphylaxis,Anafilaxia aguda
Acute angle-closure glaucoma,Glaucoma agudo de ângulo
Acute appendicitis,Apendicite aguda
Acute bronchitis,Bronquite aguda
Acute cardiac toxicity,Toxicidade cardíaca aguda
Acute chest pain,Dor no peito aguda
Acute cholestatic hepatitis,Hepatite colestática aguda
Acute confusional state,Estado de confusão aguda
Acute coronary syndrome,Síndrome coronariana aguda
Acute cystitis,Cistite aguda
Acute cytolytic hepatitis,Hepatite citolítica aguda
Acute depression,Depressão aguda
Acute diarrhea,Diarréia aguda
Acute disseminated encephalomyelitis,Encefalomielite disseminada aguda
Acute dyspnea,Dispnéia aguda
Acute dystonia,Distonia aguda
Acute enterocolitis,Enterocolite aguda
Acute fatty liver,Fígado gordo agudo
Acute febrile illness,Doença febril aguda
Acute febrile neutrophilic dermatosis,Dermatose neutrofílica febril aguda
Acute gastritis,Gastrite aguda
Acute gastroenteritis,Gastroenterite aguda
Acute generalised exanthematous pustulosis,Pustulose exantematosa generalizada aguda
Acute glaucoma,Glaucoma agudo
Acute graft versus host disease,Enxerto agudo versus doença hospedeira
Acute haemolytic anaemia,Anemia hemolítica aguda
Acute hepatic failure,Falha hepática aguda
Acute interstitial nephritis,Nefrite intersticial aguda
Acute interstitial pneumonitis,Pneumonite intersticial aguda
Acute kidney injury,Lesão renal aguda
Acute leukaemia,Leucemia aguda
Acute liver damage,Dano agudo do fígado
Acute liver injury,Lesão no fígado agudo
Acute lymphocytic leukaemia,Leucemia linfocítica aguda
Acute migraine,Enxaqueca aguda
Acute myeloid leukaemia,Leucemia mielóide aguda
Acute myocardial infarction,Infarto agudo do miocárdio
Acute myocardial ischemia,Isquemia do miocárdio agudo
Acute nephritis,Nefrite aguda
Acute overdose,Overdose aguda
Acute pain,Dor aguda
Acute phase reaction,Reação de fase aguda
Acute phosphate nephropathy,Nefropatia aguda de fosfato
Acute prerenal failure,Falha pré -renal aguda
Acute promyelocytic leukaemia,Leucemia promielocítica aguda
Acute promyelocytic leukaemia differentiation syndrome,Síndrome de diferenciação de leucemia promielocítica aguda
Acute psychosis,Psicose aguda
Acute pulmonary oedema,Edema pulmonar agudo
Acute renal insufficiency,Insuficiência renal aguda
Acute respiratory distress syndrome,Síndrome respiratória aguda grave
Acute respiratory failure,Insuficiência respiratória aguda
Acute retention of urine,Retenção aguda de urina
Acute schizophrenia,Esquizofrenia aguda
Acute sinusitis,Sinusite aguda
Acute stress disorder,Transtorno de estresse agudo
Acute tonsillitis,Amigdonite aguda
Acute urticaria,Urticária aguda
Acute uveitis,Uveíte aguda
Acute yellow liver atrophy,Atrofia do fígado amarelo agudo
Adams-Stokes syndrome,Síndrome de Adams-Stokes
Addison's disease,Doença de Addison
Adenitis,Adenite
Adenocarcinoma,Adenocarcinoma
Adenocarcinoma of prostate,Adenocarcinoma da próstata
Adenocarcinoma pancreas,Pâncreas de adenocarcinoma
Adenoma benign,Adenoma benigno
Adenomyosis,Adenomiose
Adenovirus infection,Infecção por adenovírus
Adhesion,Adesão
Adjustment disorder,Transtorno de Ajuste
Administration site infection,Infecção no local da administração
Administration site reaction,Reação do local da administração
Adnexa uteri cyst,Cisto de ANDNEXA UTERI
Adnexa uteri mass,ANDNEXA UTERI MASS
Adnexa uteri pain,Dor ANDNEXA UTERI
Adnexal torsion,Torção anexada
Adrenal atrophy,Atrofia adrenal
Adrenal carcinoma,Carcinoma adrenal
Adrenal cortex atrophy,Atrofia do córtex adrenal
Adrenal cortical hypofunction,Hipofunção cortical adrenal
Adrenal disorder,Transtorno adrenal
Adrenal gland cancer,Câncer de glândula adrenal
Adrenal haemorrhage,Hemorragia adrenal
Adrenal insufficiency,Insuficiência adrenal
Adrenergic syndrome,Síndrome adrenérgica
Adrenocortical insufficiency acute,Insuficiência adrenocortical aguda
Advanced breast cancer,Câncer de mama avançado
Advanced cancer,Câncer avançado
Adverse reaction,Reação adversa
Aerophagia,Aerofagia
Affect lability,Afetar a labilidade
Affective disorder,Transtorno afetivo
Ageusia,Ageusia
Aggravation of existing disorder,Agravamento do distúrbio existente
Aggression,Agressão
Aggressive reaction,Reação agressiva
Agitation,Agitação
Agitation postoperative,Agitação pós -operatória
Agnosia,Agnosia
Agoraphobia,Agorafobia
Agranulocytosis,Agranulocitose
Airway complication of anaesthesia,Complicação das vias aéreas da anestesia
Airway edema,Edema das vias aéreas
Airway obstruction NOS,Obstrução das vias aéreas nos
Akathisia,Akathisia
Akinaesthesia,Akinaestesia
Akinesia,Akinesia
Alanine aminotransferase abnormal,Alanina aminotransferase anormal
Alanine aminotransferase decreased,A alanina aminotransferase diminuiu
Alanine aminotransferase increased,Alanina aminotransferase aumentou
Alanine aminotransferase normal,Alanina aminotransferase normal
Albinism,Albinismo
Albumin globulin ratio abnormal,Albumin globulin ratio anormal
Albumin high,Albumina alta
Albumin low,Albumina Low
Albumin urine increased,A urina da albumina aumentou
Albumin urine present,Urina de albumina presente
Albuminuria,Albuminúria
Alcohol abuse,Abuso de álcool
Alcohol craving,Desejo de álcool
Alcohol intolerance,Intolerância ao álcool
Alcohol intoxication,Intoxicação por álcool
Alcohol poisoning,Envenenamento por álcool
Alcohol problem,Problema de álcool
Alcohol withdrawal syndrome,Síndrome de retirada de álcool
Alcoholic pancreatitis,Pancreatite alcoólica
Alcoholic psychosis,Psicose alcoólica
Alcoholism,Alcoolismo
Alertness decreased,A alerta diminuiu
Alkaline phosphatase serum increased,O soro alcalino fosfatase aumentou
Alkalosis,Alcalose
Alkalosis hypochloraemic,Hipoclorêmica da alcalose
Alkalosis hypokalaemic,Hipocalêmica da alcalose
Allergic asthma,Asma alérgica
Allergic bronchospasm,Broncoespasmo alérgico
Allergic conditions,Condições alérgicas
Allergic contact dermatitis,Dermatite de contato alérgico
Allergic cutaneous angiitis,Angiite cutânea alérgica
Allergic exanthema,Exantema alérgico
Allergic granulomatous angiitis,Angiite granulomatosa alérgica
Allergic hepatitis,Hepatite alérgica
Allergic oedema,Edema alérgico
Allergic rash,Erupção cutânea alérgica
Allergic sinusitis,Sinusite alérgica
Allergic skin reaction,Reação alérgica da pele
Allergic urticaria,Urticária alérgica
Allergy aggravated,Alergia agravada
Allergy to nuts,Alergia a nozes
Allodynia,Alodynia
Alopecia,Alopecia
Alopecia reversible,Alopecia reversível
Altered state of consciousness,Estado de consciência alterado
Altered visual depth perception,Percepção de profundidade visual alterada
Alveolar osteitis,Osteite alveolar
Alveolar proteinosis,Protenose alveolar
Alveolitis,Alveolite
Alveolitis allergic,Alveolite alérgica
Amaurosis,Amaurose
Amaurosis fugax,Amaurose Fugax
Amblyopia,Ambliopia
Amelia,Amelia
Amenorrhea secondary,Amenorréia secundária
Amenorrhoea,Amenorrheea
Aminoaciduria,Aminoaciduria
Ammonia increased,A amônia aumentou
Amnesia,Amnésia
Amnesia transient,Amnésia transitória
Amnestic symptoms,Sintomas amnéticos
Amniotic cavity infection,Infecção por cavidade amniótica
Amniotic fluid embolism,Embolia do líquido amniótico
Amylase decreased,A amilase diminuiu
Amylase increased,A amilase aumentou
Amyloidosis,Amiloidose
Anaemia,Anemia
Anaemia NOS aggravated,Anemia nos agravados
Anaemia macrocytic,Anemia macrocítica
Anaemia megaloblastic,Anemia megaloblástica
Anaemia neonatal,Anemia neonatal
Anaemia postoperative,Anemia pós -operatória
Anaemia vitamin B12 deficiency,Deficiência de vitamina B12 de anemia
Anaemias NEC,Anemias nec
Anaemias haemolytic immune,Anemias imune hemolítico
Anaesthetic complication,Complicação anestésica
Anaesthetic complication neurological,Complicação anestésica neurológica
Anal abscess,Abscesso anal
Anal atresia,Atresia anual
Anal cancer,Câncer anal
Anal candidiasis,Candidíase anal
Anal discomfort,Desconforto anal
Anal fissure,Fissura anal
Anal fistula,Fístula anal
Anal haemorrhage,Hemorragia anal
Anal inflammation,Inflamação anal
Anal irritation,Irritação anal
Anal pruritus,Prurido anal
Anal skin tags,Tags de pele anal
Anal spasm,Espasmo anal
Anal sphincter atony,Esfincter anal atony
Analgesic effect,Efeito analgésico
Analgesic therapy,Terapia analgésica
Anaphylactic responses,Respostas anafiláticas
Anaphylactic shock,Choque anafilático
Anaphylactoid reaction,Reação anafilactóide
Anaphylactoid syndrome of pregnancy,Síndrome de anafilactóide da gravidez
Anaplastic astrocytoma,Astrocitoma anaplásico
Anaplastic large-cell lymphoma,Linfoma anaplásico de células grandes
Anaplastic thyroid cancer,Câncer de tireóide anaplásico
Anastomotic leak,Vazamento anastomótico
Anastomotic ulcer,Úlcera anastomótica
Androgenetic alopecia,Alopecia androgenética
Anemic,Anêmico
Anencephaly,Anencefalia
Aneurysm,Aneurisma
Anger,Raiva
Angiitis necrotising,Angiite necrosante
Angina pectoris,Angina pectoris
Angina pectoris aggravated,Angina pectoris agravada
Angina symptom,Sintoma da angina
Angina unstable,Angina instável
Anginal attack,Ataque anginal
Angiodermatitis,Angiodermatite
Angioedema,Angioedema
Angioedema of larynx,Angioedema da laringe
Angioimmunoblastic T-cell lymphoma,Linfoma de células T angioimunoblásticas
Angiomyolipoma,Angiomyolipoma
Angiopathy,Angiopatia
Angle closure glaucoma,Glaucoma de fechamento do ângulo
Angular cheilitis,Cheilite angular
Anhedonia,Anhedonia
Anhidrosis,Anidrose
Animal bite,Mordida de animal
Animal scratch,Arranhão animal
Anion gap increased,O espaço de ânion aumentou
Anisocytosis,Anisocitose
Ankle edema,Edema do tornozelo
Ankle fracture,Fratura do tornozelo
Ankle sprain,Entorse de tornozelo
Ankylosing spondylitis,Espondilite anquilosante
Anogenital warts,Verrugas anogenitais
Anophthalmos,Anophthalmos
Anorectal discomfort,Desconforto anorretal
Anorectal disorder,Transtorno anorretal
Anorexia,Anorexia
Anorgasmia,Anorgasmia
Anosmia,Anosmia
Anosognosia,Anosognósia
Anovulation,Anovulação
Anovulatory cycle,Ciclo anovulatório
Anoxia,Anóxia
Antepartum hemorrhage,Hemorragia anteparto
Anterior chamber cell,Célula da câmara anterior
Anterior chamber flare,Flare da câmara anterior
Anterior chamber inflammation,Inflamação da câmara anterior
Anterior chamber pigmentation,Pigmentação da câmara anterior
Anterior ischemic optic neuropathy,Neuropatia óptica isquêmica anterior
Anterior spinal artery syndrome,Síndrome da artéria espinhal anterior
Anterior uveitis,Uveíte anterior
Anterograde amnesia,Amnésia anterógrada
Anthrax,Antraz
Anti-thyroid antibody positive,Anticorpo anti-tireoidiano positivo
Antibiotic associated colitis,Colite associada a antibióticos
Antibiotic-associated diarrhea,Diarréia associada a antibióticos
Antibody NOS negative,Anticorpo NOS negativo
Antibody test negative,Teste de anticorpos negativo
Antibody test positive,Teste de anticorpos positivo
Anticholinergic syndrome,Síndrome anticolinérgica
Antidiuresis,Antidiurese
Antidiuretic hormone abnormality,Anormalidade do hormônio antidiurético
Antineutrophil cytoplasmic antibody positive,Anticorpo citoplasmático antineutrófilo
Antinuclear antibody increased,O anticorpo antinuclear aumentou
Antinuclear antibody positive,Anticorpo antinuclear positivo
Antisocial behaviour,Comportamento anti -social
Antisocial personality disorder,Transtorno da personalidade anti -social
Antitussive therapy,Terapia antitussiva
Anuria,Anuria
Anus disorder,Transtorno do ânus
Anxiety,Ansiedade
Anxiety NEC,Ansiedade nec
Anxiety aggravated,Ansiedade agravada
Anxiety attack,Ataque de ansiedade
Anxiety depression,Depressão de ansiedade
Anxiety disorder,Transtorno da ansiedade
Anxiety state,Estado de ansiedade
Anxiety symptoms NOS,Sintomas de ansiedade nos
Aortic aneurysm,Aneurisma aórtico
Aortic aneurysm rupture,Ruptura do aneurisma aórtico
Aortic arteriosclerosis,Arteriosclerose aórtica
Aortic bruit,Bruit aórtico
Aortic disorder,Transtorno da aorta
Aortic dissection,Dissecção aórtica
Aortic embolus,Embolus aórtica
Aortic rupture,Ruptura aórtica
Aortic valve incompetence,Incompetência da válvula aórtica
Aortic valve sclerosis,Esclerose da válvula aórtica
Aortic valve stenosis,Estenose da válvula aórtica
Apathy,Apatia
Apgar score low,Apgar pontuar baixo
Aphagia,Afagia
Aphakia,Aphakia
Aphakic cystoid macular oedema,Edema macular cistoide afácico
Aphasia,Afasia
Aphonia,Afonia
Aphthous stomatitis,Estomatite afússica
Aplasia,Aplasia
Aplasia cutis congenita,Aplasia Cutis Congenita
Aplasia pure red cell,Aplasia Crórnia vermelha pura
Aplastic anaemia,Anemia applásica
Apnoea,Apnéia
Apocrine and eccrine gland disorders,Distúrbios da glândula apócrina e ecrática
Apoptosis,Apoptose
Appendicitis,Apendicite
Appetite absent,Apetite ausente
Appetite disorder,Transtorno do apetite
Appetite exaggerated,Apetite exagerado
Application and instillation site reactions,Reações do local de aplicação e instilação
Application site anaesthesia,Anestesia do site de aplicativos
Application site atrophy,Atrofia do site de aplicativos
Application site burn,Site do aplicativo queima
Application site cellulitis,Celulite do local de aplicação
Application site discharge,Descarga do local do aplicativo
Application site discolouration,Descoloração do site do aplicativo
Application site discomfort,Desconforto do site do aplicativo
Application site dryness,Secura no local do aplicativo
Application site eczema,Eczema do site de aplicativos
Application site erosion,Erosão do site de aplicativos
Application site erythema,Site de aplicação eritema
Application site excoriation,Excoriação do site de aplicativos
Application site exfoliation,Esfoliação do site de aplicativos
Application site folliculitis,Site de aplicação Foliculite
Application site haematoma,Hematoma do local de aplicação
Application site haemorrhage,Hemorragia no site do aplicativo
Application site hyperaesthesia,Site de aplicação Hiperaestesia
Application site hypersensitivity,Hipersensibilidade ao local do aplicativo
Application site induration,Induração do site do aplicativo
Application site infection,Infecção no local do aplicativo
Application site inflammation,Inflamação no local do aplicativo
Application site irritation,Irritação no local do aplicativo
Application site oedema,Edema do site de aplicativos
Application site pain,Dor no local do aplicativo
Application site papules,Papinhas do site de aplicativos
Application site paraesthesia,Site de aplicação paraestesia
Application site pigmentation changes,Alterações de pigmentação no local do aplicativo
Application site pruritus,Prurido do site de aplicativos
Application site pustules,Pústulas do site de aplicativos
Application site rash,Site de aplicativo Erupção cutânea
Application site reaction,Reação do local do aplicativo
Application site scab,Crista do site do aplicativo
Application site scar,Cicatriz do site de aplicativos
Application site skin breakdown,Site de aplicativo Redução de pele
Application site stinging,Site de aplicativo Stinging
Application site swelling,Inchaço do site de aplicativos
Application site ulcer,Ulcer do site de aplicativos
Application site urticaria,Site de aplicação urticária
Application site vesicles,Vesículas do site de aplicativos
Application site warmth,Calor do site de aplicativos
Apprehension,Apreensão
Apraxia,Apraxia
Arachnoiditis,Aracnoidite
Arcus juvenilis,Arcus juvenilis
Arcus lipoides,Arcus Lipoides
Arcus senilis,Arcus Senilis
Areflexia,Areflexia
Argininosuccinate synthetase deficiency,Deficiência de argininoscinato sintetase
Argumentativeness,Argumentatividade
Arrhythmia,Arritmia
Arrhythmia supraventricular,Arritmia supraventricular
Arterial aneurysm,Aneurisma arterial
Arterial anomaly,Anomalia arterial
Arterial disorder,Transtorno arterial
Arterial insufficiency,Insuficiência arterial
Arterial occlusion,Oclusão arterial
Arterial occlusive disease,Doença oclusiva arterial
Arterial spasm,Espasmo arterial
Arterial stenosis limb,Membro da estenose arterial
Arterial thromboembolism,Tromboembolismo arterial
Arterial thrombosis,Trombose arterial
Arteriosclerosis,Arteriosclerose
Arteriosclerosis coronary artery,Arteriosclerose Artéria coronária
Arteriosclerotic retinopathy,Retinopatia arteriosclerótica
Arteriospasm coronary,Coronário arteriospasmo
Arteriovenous fistula,Fístula arteriovenosa
Arteriovenous fistula thrombosis,Trombose da fístula arteriovenosa
Arteritic anterior ischaemic optic neuropathy,Neuropatia óptica isquêmica anterior arterítica
Arteritis,Arterite
Artery dissection,Dissecção da artéria
Arthralgia,Arthralgia
Arthralgia aggravated,Arthralgia agravou
Arthralgia of temporomandibular joint,Artralgia da articulação temporomandibular
Arthritic pains,Dores artríticas
Arthritis,Artrite
Arthritis aggravated,Artrite agravada
Arthritis bacterial,Artrite bacteriana
Arthritis infective,Artrite infecciosa
Arthropathy,Artropatia
Arthropod bite,Picada de artrópode
Arthropod sting,Arthropod Sting
Artificial kidney clotting during dialysis,Coagulação artificial dos rins durante a diálise
Ascariasis,Asparíase
Ascites,Ascites
Aseptic necrosis,Necrose asséptica
Aseptic necrosis of bone,Necrose asséptica do osso
Aseptic peritonitis,Peritonite asséptica
Asocial behaviour,Comportamento social
Aspartate aminotransferase decreased,A aminotransferase de aspartato diminuiu
Aspartate aminotransferase increased,Aspartato aminotransferase aumentou
Aspartate aminotransferase normal,Aspartato aminotransferase normal
Aspergilloma,Aspergilloma
Aspergillosis,Aspergilose
Aspergillus infection,Infecção por Aspergillus
Aspermia,Aspermia
Asphyxia,Asfixia
Aspiration,Aspiração
Aspiration pneumonitis,Pneumonite de aspiração
Assault,Assalto
Assisted fertilisation,Fertilização assistida
Asteatosis,Asteatose
Asterixis,Asterixis
Asthenia,Astenia
Asthenic conditions,Condições astênicas
Asthenopia,Astenopia
Asthma,Asma
Asthma aggravated,Asma agravou
Asthmatic attack,Ataque asmático
Astrocytoma,Astrocitoma
Asymptomatic bacteriuria,Bacteriúria assintomática
Asymptomatic hyperlactatemia,Hiperlactatemia assintomática
Ataxia,Ataxia
Ataxic gait,Marcha atáxica
Atelectasis,Atelectasia
Atheroma,Ateroma
Atherosclerosis,Aterosclerose
Atherothrombosis,Aterotrombose
Athetosis,Atetose
Atonic urinary bladder,Bexiga urinária atônica
Atopic rhinitis,Rinite atópica
Atopy,Atopy
Atresia biliary,Atresia biliar
Atrial arrhythmia,Arritmia atrial
Atrial fibrillation,Fibrilação atrial
Atrial fibrillation and flutter,Fibrilação atrial e vibração
Atrial flutter,Vibração atrial
Atrial hypertrophy,Hipertrofia atrial
Atrial rhythm,Ritmo atrial
Atrial septal defect,Defeito no septo atrial
Atrial tachycardia,Taquicardia atrial
Atrioventricular block,Bloco atrioventricular
Atrioventricular block complete,Bloco atrioventricular completo
Atrioventricular block first degree,Bloco atrioventricular em primeiro grau
Atrioventricular block second degree,Bloqueio atrioventricular Segundo grau
Atrioventricular dissociation,Dissociação atrioventricular
Atrophic glossitis,Glossite atrófica
Atrophic vulvovaginitis,Vulvovaginite atrófica
Atrophy,Atrofia
Attention concentration difficulty,Dificuldade de concentração de atenção
Attention deficit disorder,Transtorno do déficit de atenção
Attention deficit/hyperactivity disorder,Déficit de atenção/transtorno de hiperatividade
Atypical femur fracture,Fratura do fêmur atípico
Atypical fracture,Fratura atípica
Atypical mycobacterial infection,Infecção micobacteriana atípica
Atypical pneumonia,Pneumonia atípica
Atypical stress fracture,Fratura de estresse atípico
Auditory and visual hallucinations,Alucinações auditivas e visuais
Auditory disorder NOS,Transtorno auditivo Nos
Aura,Aura
Auricular swelling,Inchaço auricular
Autism,Autismo
Autism spectrum disorder,Transtorno do espectro do autismo
Autoimmune disorder,Transtorno autoimune
Autoimmune haemolytic anaemia,Anemia hemolítica autoimune
Autoimmune hepatitis,Hepatite auto -imune
Autoimmune thrombocytopenia,Trombocitopenia auto -imune
Automatism,Automatismo
Autonomic dysfunction,Disfunção autonômica
Autonomic nervous system imbalance,Desequilíbrio do sistema nervoso autonômico
Autonomic neuropathy,Neuropatia autonômica
Avascular necrosis femoral head,Necrose avascular Cabeça femoral
Avitaminosis,Avitaminose
Axonal neuropathy,Neuropatia axonal
Azoospermia,Azoospermia
Azotaemia,AZOTEMIA
Azotaemia of renal origin,Azotaemia de origem renal
Azotemia prerenal,Azotemia Prerenal
B-cell lymphoma,Linfoma de células B.
B-cell type acute leukaemia,Leucemia aguda do tipo B-células B
BCG infection,Infecção por BCG
BK virus infection,Infecção pelo vírus BK
Back disorder,Transtorno traseiro
Back distress,Angústia nas costas
Back injury,Lesão nas costas
Back pain,Dor nas costas
Back pain aggravated,Dor nas costas agravou
Back strain,Tensão nas costas
Background diabetic retinopathy,Retinopatia diabética de fundo
Bacteraemia,Bacteremia
Bacteria urine identified,Urina de bactérias identificadas
Bacterial colonisation,Colonização bacteriana
Bacterial disease carrier,Portador de doença bacteriana
Bacterial infection,Infecção bacteriana
Bacterial infections NEC,Infecções bacterianas nec
Bacterial prostatitis,Prostatite bacteriana
Bacterial test positive,Teste bacteriano positivo
Bacteriuria,Bacteriúria
Bacteriuria NOS present,Bacteriuria nos presentes
Bad dreams,Sonhos ruins
Bad taste,Mau gosto
Balance difficulty,Dificuldade em equilíbrio
Balance disorder,Transtorno do balanço
Balanitis,Balanite
Balanitis candida,Balanite Candida
Balanoposthitis,Balanopostite
Band neutrophil count increased,A contagem de neutrófilos da banda aumentou
Barium impaction,Impactação de bário
Barrett's oesophagus,Esôfago de Barrett
Bartholin's cyst,Cisto de Bartholin
Basal cell carcinoma,Carcinoma das células basais
Basedow's disease,Doença de Basewow
Basilar artery syndrome,Síndrome da artéria basilar
Basophilia,Basofilia
Battery,Bateria
Beckwith-Wiedemann syndrome,Síndrome de Beckwith-Wiedemann
Bedridden,Acamado
Behavior disorder,Transtorno do comportamento
Bell's palsy,Paralisia de Bell
Benign breast neoplasm,Neoplasia benigna da mama
Benign gastrointestinal neoplasm,Neoplasia gastrointestinal benigna
Benign hepatic neoplasm,Neoplasia hepática benigna
Benign hydatidiform mole,Mole hidatiforme benigna
Benign intracranial hypertension,Hipertensão intracraniana benigna
Benign neoplasm,Neoplasia benigna
Benign neoplasm of skin,Neoplasia benigna da pele
Benign prostatic hyperplasia,Hiperplasia prostática benigna
Benign prostatic hypertrophy,Hipertrofia prostática benigna
Benign vaginal neoplasm,Neoplasia vaginal benigna
Beta 2 microglobulin increased,A microglobulina beta 2 aumentou
Beta 2 microglobulin urine increased,A urina beta 2 de microglobulina aumentou
Bezoar,Bezoar
Bicarbonate decreased serum,O bicarbonato diminuiu o soro
Bicarbonate level,Nível de bicarbonato
Bicytopenia,Bicytopenia
Bilateral hydronephrosis,Hidronefrose bilateral
Bile duct cancer,Câncer de ducto biliar
Bile duct disorders,Distúrbios do duto biliar
Bile duct neoplasms malignant,Neoplasias do ducto biliar maligno
Bile duct stenosis,Estenose do duto biliar
Biliary colic,Cólica biliar
Biliary fibrosis,Fibrose biliar
Biliary sludge,Lodo biliar
Biliary tract disorder,Transtorno do trato biliar
Bilious vomiting,Bilioso vômito
Bilirubin abnormal,Bilirrubina anormal
Bilirubin conjugated increased,A bilirrubina conjugada aumentou
Bilirubin normal,Normal da bilirrubina
Bilirubin total decreased,A bilirrubina total diminuiu
Bilirubin total increased,A bilirrubina total aumentou
Bilirubin total low,Bilirrubina Total baixo
Bilirubin unconjugated increased,A bilirrubina não conjugada aumentou
Bilirubin value increased,O valor da bilirrubina aumentou
Binge eating,Compulsão alimentar
Bipolar I disorder,Transtorno bipolar I.
Bipolar disorder,Transtorno bipolar
Birth weight low,Peso ao nascer baixo
Bizarre dreams,Sonhos bizarros
Black hairy tongue,Língua peluda preta
Black spot,Mancha preta
Blacked-out (not amnesia),Blacked-out (não amnésia)
Blackwater fever,Febre negra
Bladder and urethral symptoms,Bexiga e sintomas uretrais
Bladder cancer,Câncer de bexiga
Bladder carcinoma,Carcinoma da bexiga
Bladder constriction,Constrição da bexiga
Bladder dilatation,Dilatação da bexiga
Bladder discomfort,Desconforto da bexiga
Bladder disorder,Transtorno da bexiga
Bladder distension,Distensão da bexiga
Bladder diverticulum,Invérculum da bexiga
Bladder dysfunction,Disfunção da bexiga
Bladder fibrosis,Fibrose da bexiga
Bladder infection,Infecção da bexiga
Bladder irritation,Irritação da bexiga
Bladder neck obstruction,Obstrução do pescoço da bexiga
Bladder necrosis,Necrose da bexiga
Bladder neoplasm,Neoplasia da bexiga
